Method,Ratio,Benchmark,Accuracy,Tokens,Speedup
Original,-,GSM8K,90.45,299.8,1.0x
BeConcise,-,GSM8K,90.22,231.62,0.9x
OnlyNumbers,-,GSM8K,89.46,180.23,0.8x
AbbreWords,-,GSM8K,88.86,181.51,0.8x
Truncation,0.9,GSM8K,88.63,297.97,
LoRA,0.9,GSM8K,89.99,274.06,
Truncation,0.7,GSM8K,75.51,285.11,
LoRA,0.7,GSM8K,88.55,225.19,
LC-Prompt,0.5,GSM8K,89.54,178.45,
Truncation,0.5,GSM8K,39.12,241.47,
LoRA,0.5,GSM8K,83.78,164.37,
Original,-,MATH-500,61.0,571.68,
BeConcise,-,MATH-500,61.2,524.54,
OnlyNumbers,-,MATH-500,61.4,446.35,
AbbreWords,-,MATH-500,60.8,452.25,
Truncation,0.9,MATH-500,59.4,559.9,
LoRA,0.9,MATH-500,62.2,527.47,
Truncation,0.7,MATH-500,52.2,516.96,
LoRA,0.7,MATH-500,56.4,445.87,
LC-Prompt,0.5,MATH-500,61.0,422.73,
Truncation,0.5,MATH-500,40.6,438.67,
LoRA,0.5,MATH-500,43.8,337.21,
